Season,Team_name,Id,Squad_num,Player_name,Player_name_en,National
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,부천,20190015,25,이시헌,SIHEON LEE,한국
2020,전북,20190015,25,이시헌,SIHEON LEE,한국
2019,부천,20190015,25,이시헌,SIHEON LEE,한국
2021,전북,20190018,22,이성윤,Sungyoon LEE,한국
2020,전북,20190018,22,이성윤,Sungyoon LEE,한국
2019,전북,20190018,22,이성윤,Sungyoon LEE,한국
2021,안산,20190021,3,고태규,Taegyu GO,한국
2020,대구,20190021,3,고태규,Taegyu GO,한국
2019,대구,20190021,3,고태규,Taegyu GO,한국
2021,대구,20190022,16,박민서,Minseo PARK,한국
2020,대구,20190022,16,박민서,Minseo PARK,한국
2021,경남,20190028,21,도동현,Donghyun DO,한국
2020,경남,20190028,21,도동현,Donghyun DO,한국
2019,경남,20190028,21,도동현,Donghyun DO,한국
2021,경남,20190035,50,김종필,Jongpil KIM,한국
2019,경남,20190035,50,김종필,Jongpil KIM,한국
2021,부천,20190039,8,박하빈,Habean PARK,한국
2019,울산,20190039,8,박하빈,Habean PARK,한국
2021,부산,20190040,28,이지승,Jiseung LEE,한국
2020,부산,20190040,28,이지승,Jiseung LEE,한국
2021,대전,20190041,3,김민덕,Minduk KIM,한국
2020,울산,20190041,3,김민덕,Minduk KIM,한국
2019,울산,20190041,3,김민덕,Minduk KIM,한국
2021,울산,20190042,15,김태현,KIM Taehyeon,한국
2020,서울E,20190042,15,김태현,KIM Taehyeon,한국
2019,대전,20190042,15,김태현,KIM Taehyeon,한국
2021,울산,20190043,4,불투이스,Davy BULTHUIS,네덜란드
2020,울산,20190043,4,불투이스,Davy BULTHUIS,네덜란드
2019,울산,20190043,4,불투이스,Davy BULTHUIS,네덜란드
2021,부산,20190048,11,박정인,Jeongin PARK,한국
2020,울산,20190048,11,박정인,Jeongin PARK,한국
2019,울산,20190048,11,박정인,Jeongin PARK,한국
2021,김천,20190049,44,송주훈,Juhun SONG,한국
2019,경남,20190049,44,송주훈,Juhun SONG,한국
2021,김천,20190049,44,송주훈,Juhun SONG,한국
2019,경남,20190049,44,송주훈,Juhun SONG,한국
2021,김천,20190049,44,송주훈,Juhun SONG,한국
2019,경남,20190049,44,송주훈,Juhun SONG,한국
2021,김천,20190049,44,송주훈,Juhun SONG,한국
2019,경남,20190049,44,송주훈,Juhun SONG,한국
2021,김천,20190049,44,송주훈,Juhun SONG,한국
2019,경남,20190049,44,송주훈,Juhun SONG,한국
2021,부천,20190057,21,이주현,Juhyun LEE,한국
2020,부천,20190057,21,이주현,Juhyun LEE,한국
2019,부천,20190057,21,이주현,Juhyun LEE,한국
2021,강원,20190058,1,이광연,GWANGYEON LEE,한국
